episode,reward,loss,mean_q,epsilon,steps,slices,covered,hard_total,val_recall,val_slices,val_score,val_mAP50,val_small_recall,val_fp_per_image,val_crops,val_benchmark_score
7,-0.047969,0.0,0.0,0.999557,1,1,0,0,,,,,,,,
8,4.612874,0.0,0.0,0.998987,2,1,0,0,,,,,,,,
5,7.190988,0.0,0.0,0.99867,3,1,0,0,,,,,,,,
6,22.268189,0.0,0.0,0.9981,4,1,0,0,,,,,,,,
3,41.07623,0.0,0.0,0.997277,6,1,0,0,,,,,,,,
13,-0.047969,0.0,0.0,0.99677,1,1,0,0,,,,,,,,
9,66.09708,0.0,0.0,0.994997,9,1,0,0,,,,,,,,
2,41.741414,0.0,0.0,0.994807,11,1,0,0,,,,,,,,
10,20.098129,0.0,0.0,0.994427,9,1,0,0,,,,,,,,
1,58.884291,0.0,0.0,0.994363,12,1,0,0,0.0,0.0,0.0,0.144326,0.053673,7.084,0.808,0.122109
4,27.618097,0.0,0.0,0.994173,12,1,0,0,,,,,,,,
16,3.728135,0.0,0.0,0.993793,2,1,0,0,,,,,,,,
14,-0.364166,0.0,0.0,0.99373,6,1,0,0,,,,,,,,
15,0.185291,0.0,0.0,0.993477,3,1,0,0,,,,,,,,
18,11.102075,0.0,0.0,0.991323,6,1,0,0,,,,,,,,
20,32.644949,0.0,0.0,0.990753,6,1,0,0,,,,,,,,
21,60.485239,0.0,0.0,0.989677,8,1,0,0,,,,,,,,
12,55.863851,0.0,0.0,0.989487,17,1,0,0,,,,,,,,
19,5.480336,0.0,0.0,0.9886,11,1,0,0,,,,,,,,
11,73.749895,0.0,0.0,0.988537,20,1,0,0,,,,,,,,
22,4.088844,0.0,0.0,0.98841,10,1,0,0,,,,,,,,
23,18.655229,0.0,0.0,0.988283,6,1,0,0,,,,,,,,
17,20.124781,0.0,0.0,0.98784,13,1,0,0,,,,,,,,
30,-0.047969,0.0,0.0,0.987777,1,1,0,0,,,,,,,,
24,20.995316,0.0,0.0,0.987713,6,1,0,0,,,,,,,,
31,-0.614004,0.0,0.005907,0.986827,2,1,0,0,,,,,,,,
32,6.061885,0.0,0.005907,0.986763,2,1,0,0,,,,,,,,
25,17.793155,0.0,0.005907,0.98613,7,1,0,0,,,,,,,,
28,41.434101,0.0,0.005907,0.98499,7,1,0,0,,,,,,,,
36,13.131794,0.0,0.00442,0.98461,3,1,0,0,,,,,,,,
29,4.041066,0.0,0.00442,0.984357,8,1,0,0,,,,,,,,
34,10.515325,0.0,0.00442,0.984293,5,1,0,0,,,,,,,,
33,44.915508,0.0,0.00442,0.984167,7,1,0,0,,,,,,,,
41,-0.042238,0.0,0.00442,0.98366,1,1,0,0,,,,,,,,
27,26.915428,0.0,0.00442,0.983027,11,1,0,0,,,,,,,,
35,18.562922,0.0,0.00442,0.982203,9,1,0,0,,,,,,,,
43,2.703145,0.0,0.00442,0.982013,2,1,0,0,,,,,,,,
37,38.300906,0.0,0.00442,0.98195,6,1,0,0,,,,,,,,
42,29.900084,0.0,0.00442,0.981127,5,1,0,0,,,,,,,,
26,92.110388,0.0,0.00442,0.980873,17,1,0,0,,,,,,,,
39,16.499782,0.0,0.00442,0.98081,7,1,0,0,,,,,,,,
49,0.287148,0.0,0.00442,0.979797,2,1,0,0,,,,,,,,
46,7.231139,0.0,0.00442,0.979417,5,1,0,0,,,,,,,,
44,37.093634,0.0,0.00442,0.979163,6,1,0,0,,,,,,,,
47,29.457773,0.0,0.00442,0.9791,4,1,0,0,,,,,,,,
40,54.963834,0.0,0.00442,0.97872,11,1,0,0,,,,,,,,
48,38.699254,0.0,0.00442,0.97834,5,1,0,0,,,,,,,,
52,4.949666,0.0,0.00442,0.977643,3,1,0,0,,,,,,,,
50,4.891398,0.0,0.00442,0.976757,6,1,0,0,,,,,,,,
51,11.911865,0.0,0.00442,0.976377,6,1,0,0,,,,,,,,
57,-0.042238,0.0,0.00442,0.97625,1,1,0,0,,,,,,,,
55,11.672681,0.0,0.00442,0.9753,6,1,0,0,,,,,,,,
38,27.523719,0.0,0.00442,0.974477,20,1,0,0,,,,,,,,
54,19.582358,0.0,0.00442,0.973147,11,1,0,0,,,,,,,,
45,3.046345,0.0,0.00442,0.972387,19,1,0,0,,,,,,,,
63,12.941717,0.0,0.00442,0.971373,2,1,0,0,,,,,,,,
58,39.642674,0.0,0.00442,0.970803,11,1,0,0,,,,,,,,
56,40.242247,0.0,0.00442,0.97055,14,1,0,0,,,,,,,,
65,-0.797969,0.0,0.00442,0.970297,1,1,0,0,,,,,,,,
59,21.732934,0.0,0.00442,0.97017,12,1,0,0,,,,,,,,
62,4.991769,0.0,0.00442,0.9696,7,1,0,0,,,,,,,,
60,23.459294,0.0,0.00442,0.96922,12,1,0,0,,,,,,,,
53,105.94622,0.0,0.00442,0.968967,20,1,0,0,,,,,,,,
71,13.557672,0.0,0.00442,0.96694,4,1,0,0,,,,,,,,
61,89.430021,0.0,0.00442,0.966877,15,1,0,0,,,,,,,,
66,28.540659,0.0,0.00442,0.966497,8,1,0,0,,,,,,,,
73,-0.792238,0.0,0.00442,0.96637,1,1,0,0,,,,,,,,
69,37.930662,2.257007,0.00442,0.966053,7,1,0,0,,,,,,,,
74,-0.042238,0.0,0.060981,0.96599,1,1,0,0,,,,,,,,
64,48.231744,3.070672,0.297443,0.96428,14,1,0,0,,,,,,,,
72,51.359612,2.272136,0.297443,0.962887,8,1,0,0,,,,,,,,
67,24.926308,0.0,0.297443,0.96219,16,1,0,0,,,,,,,,
79,-0.686969,2.180264,0.777608,0.961873,2,1,0,0,,,,,,,,
78,12.468162,1.783755,0.777608,0.961747,5,1,0,0,,,,,,,,
77,16.170142,0.0,0.777608,0.96143,9,1,0,0,,,,,,,,
81,4.173717,1.259652,0.777608,0.960353,3,1,0,0,,,,,,,,
68,77.346275,0.0,0.777608,0.960037,20,1,0,0,,,,,,,,
84,-0.047969,1.112882,2.140284,0.959847,1,1,0,0,,,,,,,,
83,5.94287,0.0,2.140284,0.959403,4,1,0,0,,,,,,,,
70,85.610593,2.088964,2.140284,0.959087,20,1,0,0,,,,,,,,
86,3.691105,1.555491,2.140284,0.958833,2,1,0,0,,,,,,,,
75,1.408624,0.0,2.140284,0.95877,15,1,0,0,,,,,,,,
87,4.085694,0.0,2.140284,0.95839,2,1,0,0,,,,,,,,
85,14.54858,0.0,2.140284,0.95801,4,1,0,0,,,,,,,,
89,-0.090866,1.448623,2.787372,0.95782,2,1,0,0,,,,,,,,
90,11.550079,0.0,2.787372,0.956743,4,1,0,0,,,,,,,,
76,153.965576,1.781741,3.264795,0.95592,20,1,0,0,,,,,,,,
94,10.373523,0.0,3.264795,0.95573,2,1,0,0,,,,,,,,
92,4.389666,0.0,3.264795,0.955477,5,1,0,0,,,,,,,,
93,20.656855,1.159,3.264795,0.95478,6,1,0,0,,,,,,,,
91,15.487157,0.0,3.264795,0.954337,8,1,0,0,,,,,,,,
97,10.365112,0.0,3.264795,0.953957,3,1,0,0,,,,,,,,
80,64.690849,0.0,3.264795,0.953577,17,1,0,0,,,,,,,,
82,26.895684,1.370058,3.986617,0.95212,19,1,0,0,,,,,,,,
95,24.245197,1.275704,3.986617,0.95136,9,1,0,0,,,,,,,,
98,-0.993968,1.451084,3.986617,0.950727,8,1,0,0,,,,,,,,
104,8.636147,1.165845,3.986617,0.949713,2,1,0,0,,,,,,,,
105,-0.047969,1.545073,3.986617,0.949207,1,1,0,0,,,,,,,,
88,47.978887,1.240745,3.986617,0.948953,20,1,0,0,,,,,,,,
102,13.846197,1.141214,3.986617,0.948573,7,1,0,0,,,,,,,,
101,15.555658,0.0,3.986617,0.948003,11,1,0,0,,,,,,,,
103,45.41918,1.434432,3.986617,0.947307,8,1,0,0,,,,,,,,
96,81.197428,0.0,4.624229,0.946103,19,1,0,0,,,,,,,,
109,29.253039,0.0,4.624229,0.94547,5,1,0,0,,,,,,,,
112,-0.047969,0.0,4.624229,0.944963,1,1,0,0,,,,,,,,
99,80.347452,0.0,5.375496,0.944203,20,1,0,0,,,,,,,,
100,148.736605,0.0,5.375496,0.943823,20,1,0,0,,,,,,,,
106,0.930884,1.416542,5.375496,0.943127,12,1,0,0,,,,,,,,
113,15.758722,0.0,5.375496,0.942937,4,1,0,0,,,,,,,,
108,9.02242,1.36606,5.375496,0.941987,13,1,0,0,,,,,,,,
107,95.246632,1.36066,5.375496,0.941353,15,1,0,0,,,,,,,,
117,3.501421,0.0,5.375496,0.94091,4,1,0,0,,,,,,,,
110,13.882593,1.38636,5.375496,0.940213,14,1,0,0,,,,,,,,
121,-0.042238,1.889448,5.643591,0.939707,1,1,0,0,,,,,,,,
118,3.277942,1.50716,5.643591,0.939453,5,1,0,0,,,,,,,,
116,6.990004,1.297962,5.643591,0.939073,8,1,0,0,,,,,,,,
111,60.330866,0.0,5.643591,0.93901,14,1,0,0,,,,,,,,
123,-0.102417,1.856647,5.643591,0.93844,2,1,0,0,,,,,,,,
119,41.928697,1.646371,5.643591,0.938313,6,1,0,0,,,,,,,,
126,-0.042238,1.519214,5.643591,0.937933,1,1,0,0,,,,,,,,
124,14.76716,1.256926,5.643591,0.937553,3,1,0,0,,,,,,,,
