episode,reward,loss,epsilon,crops,covered,val_recall,val_crops,val_score
1,-0.25,0.0,0.9996,3,2,0.3001,12.0,-0.0193
2,6.9,0.0,0.999,5,9,,,
3,4.95,0.0,0.9984,7,9,,,
4,7.1,0.0,0.9978,9,14,,,
5,-1.2,0.0,0.9973,7,0,,,
6,15.35,0.0,0.9965,12,23,,,
7,2.2,0.0,0.9957,9,10,,,
8,13.75,0.0,0.9949,9,22,,,
9,19.3,0.0,0.9944,7,28,,,
10,4.95,0.0,0.9939,3,9,,,
11,18.05,0.0,0.9934,3,20,,,
12,-2.95,0.0,0.993,6,5,,,
13,8.45,0.0,0.9927,5,11,,,
14,11.75,0.0,0.9916,13,17,,,
15,-1.95,0.0,0.991,7,12,,,
16,8.5,0.0,0.99,11,13,,,
17,0.6,0.0,0.9897,3,3,,,
18,32.35,0.0,0.9887,11,46,,,
19,-6.05,0.0,0.988,10,1,,,
20,-0.5,0.0,0.9874,8,1,,,
21,-0.6,0.0,0.9871,3,0,,,
22,4.1,0.0,0.9864,9,8,,,
23,1.45,0.0,0.9859,8,4,,,
24,10.35,0.0,0.9854,6,12,,,
25,16.3,0.0,0.9849,7,19,,,
26,50.0,0.0,0.984,11,62,,,
27,-0.5,0.0,0.9832,11,4,,,
28,-0.75,0.0,0.9825,8,3,,,
29,-0.9,0.0,0.9819,6,0,,,
30,37.0,0.0,0.9811,8,46,,,
31,1.5,0.0,0.9804,8,3,,,
32,2.55,0.0,0.98,6,9,,,
33,14.2,0.0,0.979,13,25,,,
34,0.8,0.0,0.9785,7,2,,,
35,19.55,0.0,0.9778,9,26,,,
36,-0.6,0.0,0.9771,10,3,,,
37,5.6,0.0,0.9764,9,14,,,
38,60.0,0.0,0.9757,10,75,,,
39,-1.45,0.0,0.9749,10,2,,,
40,1.8,0.0,0.9743,7,6,,,
41,-3.4,0.0,0.9733,11,5,,,
42,5.65,0.0,0.9725,10,10,,,
43,0.6,0.0,0.9719,8,3,,,
44,8.35,0.0,0.9714,6,13,,,
45,5.5,0.0,0.9711,4,7,,,
46,26.05,0.0,0.9707,6,34,,,
47,14.1,0.0,0.9698,11,24,,,
48,21.25,0.0,0.9688,12,34,,,
49,-0.9,0.0,0.968,12,3,,,
50,5.45,1.1734,0.9671,10,8,,,
51,1.5,1.1225,0.9664,8,3,,,
52,23.7,1.2539,0.9654,13,36,,,
53,-0.3,1.2597,0.9648,6,3,,,
54,6.9,0.9581,0.9641,7,9,,,
55,-2.45,1.2808,0.9633,10,7,,,
56,8.8,1.1056,0.9623,11,16,,,
57,-5.45,0.9136,0.9613,13,1,,,
58,-1.9,1.0402,0.961,4,2,,,
59,8.15,1.0874,0.9602,9,11,,,
60,21.2,1.1657,0.9592,12,29,,,
61,29.2,1.1389,0.9582,11,40,,,
62,-1.8,1.0987,0.9574,10,0,,,
63,4.65,1.2842,0.9573,3,9,,,
64,-1.35,1.0812,0.9569,5,0,,,
65,-1.55,0.9334,0.9562,6,1,,,
66,13.1,0.8141,0.9557,5,17,,,
67,-0.75,0.9748,0.9554,5,0,,,
68,9.3,1.0638,0.9543,12,30,,,
69,-0.3,1.0382,0.9535,11,3,,,
70,3.1,1.1482,0.9529,5,7,,,
71,17.4,1.0057,0.9524,7,21,,,
72,0.05,0.8197,0.9521,4,2,,,
