episode,reward,loss,epsilon,crops,captured,val_recall,val_crops,val_score
1,1.0,0.0,0.9996,5,2.0,0.9915,11.961,0.8419
2,8.0,0.0,0.999,5,9.0,,,
3,7.6,0.0,0.9984,7,9.0,,,
4,-1.0,0.0,0.9978,5,0.0,,,
5,-0.4,0.0,0.9973,2,0.0,,,
6,9.0,0.0,0.9965,5,10.0,,,
7,3.0,0.0,0.9957,5,4.0,,,
8,14.8,0.0,0.9949,6,16.0,,,
9,17.4,0.0,0.9944,3,18.0,,,
10,8.8,0.0,0.9939,6,10.0,,,
11,4.0,0.0,0.9934,5,5.0,,,
12,-0.2,0.0,0.993,1,0.0,,,
13,0.6,0.0,0.9927,2,1.0,,,
14,1.6,0.0,0.9916,7,3.0,,,
15,8.2,0.0,0.991,4,9.0,,,
16,9.0,0.0,0.99,10,11.0,,,
17,1.6,0.0,0.9897,2,2.0,,,
18,18.4,0.0,0.9887,8,20.0,,,
19,-0.6,0.0,0.988,3,0.0,,,
20,0.2,0.0,0.9874,4,1.0,,,
21,-0.2,0.0,0.9871,1,0.0,,,
22,14.8,0.0,0.9864,6,16.0,,,
23,-0.2,0.0,0.9859,1,0.0,,,
24,12.2,0.0,0.9854,4,13.0,,,
25,3.6,0.0,0.9849,2,4.0,,,
26,19.0,0.0,0.984,5,20.0,,,
27,7.8,0.0,0.9832,11,10.0,,,
28,1.0,0.0,0.9825,5,2.0,,,
29,-0.8,0.0,0.9819,4,0.0,,,
30,41.0,0.0,0.9811,5,42.0,,,
31,0.4,0.0,0.9804,8,2.0,,,
32,-0.2,0.0,0.98,1,0.0,,,
33,26.4,0.0,0.979,8,28.0,,,
34,1.2,0.0,0.9785,4,2.0,,,
35,16.8,0.0,0.9778,6,18.0,,,
36,3.2,0.0,0.9771,4,4.0,,,
37,6.2,0.0,0.9764,4,7.0,,,
38,41.0,0.0,0.9757,5,42.0,,,
39,-1.0,0.0,0.9749,5,0.0,,,
40,0.0,0.0,0.9743,5,1.0,,,
41,0.6,0.0,0.9733,7,2.0,,,
42,2.4,0.0,0.9725,8,4.0,,,
43,-0.8,0.0,0.9719,4,0.0,,,
44,6.4,0.0,0.9714,3,7.0,,,
45,-0.2,0.0,0.9711,1,0.0,,,
46,11.4,0.0,0.9707,3,12.0,,,
47,7.0,0.0,0.9698,5,8.0,,,
48,13.4,0.0,0.9688,8,15.0,,,
49,0.4,0.0,0.968,3,1.0,,,
50,-1.6,0.9609,0.9671,8,0.0,,,
51,-1.8,0.806,0.9664,9,0.0,,,
52,8.4,0.7352,0.9654,8,10.0,,,
53,1.0,0.7596,0.9648,5,2.0,,,
54,20.0,0.7717,0.9641,10,22.0,,,
55,1.8,0.7086,0.9633,6,3.0,,,
56,19.0,0.6869,0.9623,10,21.0,,,
57,-0.6,0.6873,0.9613,8,1.0,,,
58,-0.2,0.641,0.961,1,0.0,,,
59,7.8,0.7218,0.9602,6,9.0,,,
60,7.2,0.8226,0.9592,9,9.0,,,
61,17.8,0.7491,0.9582,6,19.0,,,
62,-1.2,0.8578,0.9574,6,0.0,,,
63,5.8,1.3462,0.9573,1,6.0,,,
64,-0.2,1.0117,0.9569,1,0.0,,,
65,2.0,0.9122,0.9562,10,4.0,,,
66,5.2,0.5463,0.9557,4,6.0,,,
67,-0.6,0.9377,0.9554,3,0.0,,,
68,18.4,0.774,0.9543,8,20.0,,,
69,2.2,0.8894,0.9535,9,4.0,,,
70,-0.8,0.8896,0.9529,4,0.0,,,
71,3.4,0.7663,0.9524,3,4.0,,,
72,3.4,0.848,0.9521,3,4.0,,,
73,0.0,0.9187,0.9517,5,1.0,,,
74,15.4,0.8802,0.9511,8,17.0,,,
75,0.4,0.8108,0.9507,3,1.0,,,
76,3.4,0.9328,0.9499,8,5.0,,,
77,-0.2,0.7871,0.9493,6,1.0,,,
78,1.8,0.7115,0.9486,6,3.0,,,
79,4.4,0.8064,0.9477,8,6.0,,,
80,-1.4,0.842,0.9467,7,0.0,,,
81,1.4,0.8019,0.946,8,3.0,,,
82,1.2,0.7266,0.9454,4,2.0,,,
83,-0.2,0.7184,0.9453,1,0.0,,,
84,1.0,0.791,0.9447,5,2.0,,,
85,0.6,0.6442,0.9441,7,2.0,,,
86,0.8,0.8105,0.9432,6,2.0,,,
87,28.8,0.9033,0.9425,6,30.0,,,
88,12.2,0.8002,0.9415,9,14.0,,,
89,-1.0,0.636,0.9408,5,0.0,,,
90,-0.8,0.8112,0.9405,4,0.0,,,
91,-1.6,0.7553,0.9395,8,0.0,,,
92,-0.2,0.7194,0.9393,1,0.0,,,
93,-0.8,0.8588,0.9388,4,0.0,,,
94,21.8,0.6951,0.9378,6,23.0,,,
95,-0.2,0.9699,0.9374,1,0.0,,,
96,22.2,0.7824,0.9364,9,24.0,,,
97,13.0,0.7847,0.9357,5,14.0,,,
98,-0.8,0.8761,0.9351,4,0.0,,,
99,-1.4,0.6432,0.9346,7,0.0,,,
100,15.2,0.8223,0.9341,4,16.0,,,
101,10.8,0.8953,0.9332,6,12.0,,,
