episode,reward,loss,epsilon,crops,captured,val_recall,val_crops,val_score
1,-0.5,0.0,0.9996,5,2.0,0.9915,11.961,0.6177
2,6.5,0.0,0.999,5,9.0,,,
3,5.5,0.0,0.9984,7,9.0,,,
4,-2.5,0.0,0.9978,5,0.0,,,
5,-1.0,0.0,0.9973,2,0.0,,,
6,7.5,0.0,0.9965,5,10.0,,,
7,1.5,0.0,0.9957,5,4.0,,,
8,13.0,0.0,0.9949,6,16.0,,,
9,16.5,0.0,0.9944,3,18.0,,,
10,7.0,0.0,0.9939,6,10.0,,,
11,2.5,0.0,0.9934,5,5.0,,,
12,-0.5,0.0,0.993,1,0.0,,,
13,0.0,0.0,0.9927,2,1.0,,,
14,-0.5,0.0,0.9916,7,3.0,,,
15,7.0,0.0,0.991,4,9.0,,,
16,6.0,0.0,0.99,10,11.0,,,
17,1.0,0.0,0.9897,2,2.0,,,
18,16.0,0.0,0.9887,8,20.0,,,
19,-1.5,0.0,0.988,3,0.0,,,
20,-1.0,0.0,0.9874,4,1.0,,,
21,-0.5,0.0,0.9871,1,0.0,,,
22,13.0,0.0,0.9864,6,16.0,,,
23,-0.5,0.0,0.9859,1,0.0,,,
24,11.0,0.0,0.9854,4,13.0,,,
25,3.0,0.0,0.9849,2,4.0,,,
26,17.5,0.0,0.984,5,20.0,,,
27,4.5,0.0,0.9832,11,10.0,,,
28,-0.5,0.0,0.9825,5,2.0,,,
29,-2.0,0.0,0.9819,4,0.0,,,
30,39.5,0.0,0.9811,5,42.0,,,
31,-2.0,0.0,0.9804,8,2.0,,,
32,-0.5,0.0,0.98,1,0.0,,,
33,24.0,0.0,0.979,8,28.0,,,
34,0.0,0.0,0.9785,4,2.0,,,
35,15.0,0.0,0.9778,6,18.0,,,
36,2.0,0.0,0.9771,4,4.0,,,
37,5.0,0.0,0.9764,4,7.0,,,
38,39.5,0.0,0.9757,5,42.0,,,
39,-2.5,0.0,0.9749,5,0.0,,,
40,-1.5,0.0,0.9743,5,1.0,,,
41,-1.5,0.0,0.9733,7,2.0,,,
42,0.0,0.0,0.9725,8,4.0,,,
43,-2.0,0.0,0.9719,4,0.0,,,
44,5.5,0.0,0.9714,3,7.0,,,
45,-0.5,0.0,0.9711,1,0.0,,,
46,10.5,0.0,0.9707,3,12.0,,,
47,5.5,0.0,0.9698,5,8.0,,,
48,11.0,0.0,0.9688,8,15.0,,,
49,-0.5,0.0,0.968,3,1.0,,,
50,-4.0,0.9016,0.9671,8,0.0,,,
51,-4.5,0.6698,0.9664,9,0.0,,,
52,6.0,0.6798,0.9654,8,10.0,,,
53,-0.5,0.6111,0.9648,5,2.0,,,
54,17.0,0.739,0.9641,10,22.0,,,
55,0.0,0.6032,0.9633,6,3.0,,,
56,16.0,0.7413,0.9623,10,21.0,,,
57,-3.0,0.7605,0.9613,8,1.0,,,
58,-0.5,0.6415,0.961,1,0.0,,,
59,6.0,0.6916,0.9602,6,9.0,,,
60,4.5,0.6525,0.9592,9,9.0,,,
61,16.0,0.6673,0.9582,6,19.0,,,
62,-3.0,0.834,0.9574,6,0.0,,,
63,5.5,0.6833,0.9573,1,6.0,,,
64,-0.5,0.5369,0.9569,1,0.0,,,
65,-1.0,0.7601,0.9562,10,4.0,,,
66,4.0,0.6449,0.9557,4,6.0,,,
67,-1.5,0.5643,0.9554,3,0.0,,,
68,16.0,0.6693,0.9543,8,20.0,,,
69,-0.5,0.8167,0.9535,9,4.0,,,
70,-2.0,0.8426,0.9529,4,0.0,,,
71,2.5,0.7947,0.9524,3,4.0,,,
72,2.5,0.654,0.9521,3,4.0,,,
73,-1.5,0.7345,0.9517,5,1.0,,,
74,13.0,0.7925,0.9511,8,17.0,,,
75,-0.5,0.8158,0.9507,3,1.0,,,
76,1.0,0.8509,0.9499,8,5.0,,,
77,-2.0,0.7864,0.9493,6,1.0,,,
78,0.0,0.6935,0.9486,6,3.0,,,
79,2.0,0.8388,0.9477,8,6.0,,,
80,-3.5,0.7845,0.9467,7,0.0,,,
81,-1.0,0.7418,0.946,8,3.0,,,
82,0.0,0.8051,0.9454,4,2.0,,,
83,-0.5,0.8273,0.9453,1,0.0,,,
84,-0.5,0.6151,0.9447,5,2.0,,,
85,-1.5,0.8008,0.9441,7,2.0,,,
86,-1.0,0.7829,0.9432,6,2.0,,,
87,27.0,0.6009,0.9425,6,30.0,,,
88,9.5,0.7356,0.9415,9,14.0,,,
89,-2.5,0.7278,0.9408,5,0.0,,,
90,-2.0,0.7731,0.9405,4,0.0,,,
91,-4.0,0.7491,0.9395,8,0.0,,,
92,-0.5,0.7625,0.9393,1,0.0,,,
93,-2.0,0.6786,0.9388,4,0.0,,,
94,20.0,0.8038,0.9378,6,23.0,,,
95,-0.5,0.5096,0.9374,1,0.0,,,
96,19.5,0.7228,0.9364,9,24.0,,,
97,11.5,0.6093,0.9357,5,14.0,,,
98,-2.0,0.7757,0.9351,4,0.0,,,
99,-3.5,0.65,0.9346,7,0.0,,,
100,14.0,0.8694,0.9341,4,16.0,,,
101,9.0,0.6679,0.9332,6,12.0,,,
102,-2.0,0.9438,0.9327,4,0.0,,,
103,-2.0,0.7908,0.9322,4,0.0,,,
104,2.5,0.8064,0.9313,7,6.0,,,
105,1.5,0.6554,0.9305,9,6.0,,,
106,-1.0,0.8654,0.9302,2,0.0,,,
107,-3.5,0.7915,0.9292,7,0.0,,,
108,-1.5,0.9066,0.9289,3,0.0,,,
109,6.5,0.7313,0.9279,7,10.0,,,
110,4.5,1.0322,0.9274,3,6.0,,,
111,-0.5,0.8609,0.9271,1,0.0,,,
112,2.0,0.9103,0.9261,10,7.0,,,
113,15.0,0.7856,0.9252,6,18.0,,,
114,-2.0,0.8531,0.9243,6,1.0,,,
115,2.5,0.8147,0.9234,7,6.0,,,
116,7.5,0.737,0.9227,9,12.0,,,
117,-3.0,0.835,0.9221,6,0.0,,,
118,-2.5,0.7783,0.9215,5,0.0,,,
119,-1.0,0.7606,0.9211,4,1.0,,,
120,8.5,0.8801,0.9206,3,10.0,,,
121,3.5,0.8577,0.9199,7,7.0,,,
122,10.0,0.7552,0.9189,10,15.0,,,
123,-0.5,0.7594,0.9182,3,1.0,,,
124,-1.5,0.7659,0.9178,3,0.0,,,
125,3.5,0.8445,0.9173,3,5.0,,,
126,-2.0,0.9157,0.9167,4,0.0,,,
127,7.5,0.7264,0.9157,9,12.0,,,
128,10.0,0.7417,0.9153,2,11.0,,,
129,2.5,0.8379,0.9144,7,6.0,,,
130,27.5,0.7753,0.9135,5,30.0,,,
131,2.5,0.8745,0.9125,7,6.0,,,
132,24.5,0.8697,0.9115,11,30.0,,,
133,8.0,0.9217,0.9105,6,11.0,,,
134,2.0,0.883,0.9095,10,7.0,,,
135,1.5,0.887,0.9092,3,3.0,,,
136,3.5,0.7211,0.9082,7,7.0,,,
137,-3.0,0.6668,0.9072,8,1.0,,,
138,-1.5,0.7533,0.9068,3,0.0,,,
139,14.5,0.8244,0.9061,7,18.0,,,
140,-3.5,0.8463,0.9053,7,0.0,,,
141,0.0,0.8949,0.9044,6,3.0,,,
142,17.5,0.8852,0.9039,7,21.0,,,
143,2.5,1.0939,0.9032,7,6.0,,,
144,31.0,0.7978,0.9025,4,33.0,,,
145,-2.0,0.9875,0.902,4,0.0,,,
146,-1.0,0.6979,0.9019,2,0.0,,,
147,1.0,0.8049,0.9009,8,5.0,,,
148,2.5,0.8345,0.9002,5,5.0,,,
149,-3.0,0.8593,0.8992,6,0.0,,,
150,-2.5,0.9353,0.8985,5,0.0,,,
151,5.0,0.7636,0.8976,8,9.0,,,
152,-2.5,0.6883,0.897,5,0.0,,,
153,4.5,0.7781,0.896,7,8.0,,,
154,-2.0,0.7953,0.8954,4,0.0,,,
155,3.0,0.868,0.8947,4,5.0,,,
156,18.5,0.79,0.8938,5,21.0,,,
157,0.5,0.8609,0.893,3,2.0,,,
158,4.5,1.1475,0.8927,1,5.0,,,
159,15.0,0.7762,0.892,6,18.0,,,
160,-4.0,0.8117,0.891,10,1.0,,,
161,-4.0,0.9526,0.89,8,0.0,,,
162,24.5,0.8207,0.889,7,28.0,,,
